model,symbol,date,split,regime,direction,confluence,is_atz,gtf_7,gtf_13,conviction,pnl_r,is_win
MODEL_E,BERGEPAINT,2025-06-27,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_A,BERGEPAINT,2025-07-04,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_B,BERGEPAINT,2025-07-04,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_C,BERGEPAINT,2025-07-04,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_D,BERGEPAINT,2025-07-04,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_E,BERGEPAINT,2025-07-04,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_A,BERGEPAINT,2025-07-11,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_B,BERGEPAINT,2025-07-11,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_C,BERGEPAINT,2025-07-11,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_D,BERGEPAINT,2025-07-11,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_E,BERGEPAINT,2025-07-11,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_A,BERGEPAINT,2025-07-18,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_B,BERGEPAINT,2025-07-18,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_C,BERGEPAINT,2025-07-18,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_D,BERGEPAINT,2025-07-18,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_E,BERGEPAINT,2025-07-18,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_A,BERGEPAINT,2025-07-25,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_B,BERGEPAINT,2025-07-25,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_D,BERGEPAINT,2025-07-25,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_E,BERGEPAINT,2025-07-25,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
